update,frames,fps,duration,train_loss,train_accuracy,train_precision,train_recall,validation_loss,validation_accuracy,ground_truth_validation_accuracy,ground_truth_validation_precision,ground_truth_validation_recall
1,2820,764.6733816223988,3,5.487683449653869,0.0,0.0,0.0,,,,,
2,5640,810.9243970106157,7,0.7740017012924167,0.4450354609929079,1.0,0.4450354609929078,,,,,
3,8460,800.487365930514,10,0.42325799209429016,0.99822695035461,1.0,0.99822695035461,,,,,
4,11280,803.1869388127615,14,0.3164221268173651,1.0,1.0,1.0,,,,,
6,16920,805.6544655822015,21,0.24480321353420298,1.0,1.0,1.0,,,,,
7,19740,805.5849427012071,25,0.22316390709251377,1.0,1.0,1.0,,,,,
8,22560,817.9571791475414,28,0.22406080830181743,1.0,1.0,1.0,,,,,
9,25380,809.9617662875389,32,0.20197851918901957,1.0,1.0,1.0,,,,,
11,31020,772.159574920897,39,0.18792836859505227,1.0,1.0,1.0,,,,,
12,33840,804.0393388597168,43,0.18500176251780057,1.0,1.0,1.0,,,,,
13,36660,815.6680034323338,46,0.18323839741184356,1.0,1.0,1.0,,,,,
14,39480,806.7806824522224,50,0.1839588020287507,1.0,1.0,1.0,,,,,
16,45120,807.6492243644782,57,0.1791448489571294,1.0,1.0,1.0,,,,,
17,47940,810.4032318734351,61,0.17700795802875613,1.0,1.0,1.0,,,,,
18,50760,812.198400218858,64,0.16794650140383566,1.0,1.0,1.0,,,,,
19,53580,805.1413106051926,68,0.16602962258014273,1.0,1.0,1.0,,,,,
